asset,solution
CoalSubC1,-0.0
CoalSubC2,-0.0
CoalSubC3,1.0
CoalSubC4,-0.0
CoalSuperC1,-0.0
CoalSuperC2,1.0
CoalSuperC3,1.0
CoalSuperC4,1.0
CCGT1,-0.0
CCGT2,0.0
CCGT3,-0.0
CCGT4,-0.0
CCGT5,-0.0
CCGT6,-0.0
CCGT7,-0.0
CCGT8,-0.0
OCGT1,-0.0
OCGT2,-0.0
OCGT3,-0.0
OCGT4,1.0
OCGT5,1.0
OCGT6,-0.0
OCGT7,1.0
OCGT8,0.0
Nuclear1,1.0
Nuclear2,-0.0
Nuclear3,1.0
Nuclear4,1.0
OnWind,10.0
OffWind,-0.0
Solar,-0.0
