asset,commission_year,fixed_cost,investment_cost,investment_limit,fixed_cost_storage_energy,investment_cost_storage_energy,investment_limit_storage_energy,storage_loss_from_stored_energy,efficiency,storage_charging_efficiency,storage_discharging_efficiency
BE_Nuclear3,2030,0.0,3660.0,440,5.0,0.0,,0,10.24,1.0,1.0
BE_Nuclear4,2030,0.0,3660.0,1650,5.0,0.0,,0,10.24,1.0,1.0
BE_OnWind,2030,0.0,1190.0,1000,5.0,0.0,,0,1.0,1.0,1.0
BE_OffWind,2030,0.0,2700.0,1000,5.0,0.0,,0,1.0,1.0,1.0
BE_Solar,2030,0.0,1140.0,500,5.0,0.0,,0,1.0,1.0,1.0
NL_demand,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
BE_demand,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
NL_balance,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
BE_balance,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
ens,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
