case,regret,investment_cost,operation_cost
1var-E2C,10.56835168460384,1.1071835797020518e6,1.0842268456301617e6
1var-0,1.8536360334227472e6,1.2723622356272147e6,2.772673654776062e6
1var-E1C,10.56835168460384,1.1071835797020518e6,1.0842268456301617e6
3var-E2,2.191399856980529e6,0.0,0.0
3var-E1,10.56835168460384,1.1071835797020518e6,1.0842268456301617e6
3var-0T,10.56835168460384,1.1071835797020518e6,1.0842268456301617e6
