case,regret,investment_cost,operation_cost
1var-E2C,-84.35312617616728,1.0645213062538384e6,1.1543271353159316e6
1var-0,269566.4068677579,1.323305980007948e6,1.1651932215557562e6
1var-E1C,-84.35312617616728,1.0645213062538384e6,1.1543271353159316e6
3var-E2,2.218932794695946e6,0.0,0.0
3var-E1,-84.35312617616728,1.0645213062538384e6,1.1543271353159316e6
3var-0T,-84.35312617616728,1.0645213062538384e6,1.1543271353159316e6
