case,regret,investment_cost,operation_cost
1var-E2C,-7.7686349134892225,1.847610502373817e6,2.9273199950583065e6
1var-0,63504.32138640806,1.919917092917292e6,2.918525494536153e6
1var-E1C,-67.0645959135145,1.8474897240118873e6,2.927381477459236e6
3var-E2,4.774938266067037e6,0.0,0.0
3var-E1,-87.47339306771755,1.8474663376097293e6,2.92738445506424e6
3var-0T,-87.47339306771755,1.8474663376097293e6,2.92738445506424e6
