case,regret,investment_cost,operation_cost
1var-E2C,-1.8364947381387806e9,1.7163504269269402e6,4.888607692826897e6
1var-0,-1.8364947381387806e9,1.7163504269269402e6,4.888607692826897e6
1var-E1C,-1.8364947381387806e9,1.7163504269269402e6,4.888607692826897e6
3var-E2,1.8430996962585344e9,1.7163504269269402e6,4.888607692826897e6
3var-E1,-1.8364947381387806e9,1.7163504269269402e6,4.888607692826897e6
3var-0T,-1.8364947381387806e9,1.7163504269269402e6,4.888607692826897e6
